category,sub_category,crimeaditionalinfo
Online Financial Fraud,UPI Related Frauds,Mene PhonePe open Kiya and directly payment account se deducted ho gaya fir three minutes k bad mene fir open Kiya fir se paisa deducted ho gaya akk notification aya tha  ka cashback mene redeem me kiya tha aur paisa deducted ho gaya Aisha kiyu huwa mujhe kutch malum nahi hae please refund kar dijiye
Any Other Cyber Crime,Other,who will share my mobile number shared in telegram  group without my permission and unknown person  Receiving calls from random numbers number of three girls shared in a group called English Chatting on telegram
Online Financial Fraud,Internet Banking Related Fraud,"I have registered on the online website magicbrikscom for rent of our house situated in Udaipur Rajasthan From this website Randip Singh contacted me to take my st floor on rent on Rs  month and will shift to my home on th Jan   I said him to give rent when you come but he said in our CISF  we have to give payment by HR accountant and want to make payment online to my account For this I gave my Yes bank account no for rent and security transfer in my account He gave his phone to another person and told me to first transfer the amount from my account to his given account UPI IDI told him what was this process then he said it was CISF procedure to deposit the amount I believed in him and transferred Rs  to his given account Then he said you did wrong and if you wanted to return your money then you had to deposit Rs  I again believed and transferred Rs  After that he again said to deposit more amount than I was known that I had been cheated by this fraud person Now he is not returning my money 
Attached documents
 My yes bank transaction detail
 Fraud person aadhar card and PAN card ID
 Fraud person CISF ID card 
 Fraud person contact details and photos of WhatsApp chat"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,DEBIT FRAUD OF RS  while getting a call from the so called HR of DPS Dwarka She asked us to go to a website and pay to apply for the position of HOD She gave a link and was on the phone until the anount was credited only  Rs was asked by the portal while the deducted amount was Rs  once and Rs  once
Cyber Attack/ Dependent Crimes,Denial of Service (DoS)/Distributed Denial of Service (DDOS) attacks,"The issue actually started when I got this email, which at first glance seemed like spam. I usually ignore such things, but for some reason, I opened it this time. Afterward, my phone started freezing, and it wasnâ€™t normal. I thought it was a technical glitch, but now Iâ€™m not so sure. Honestly, itâ€™s such a mess, and I donâ€™t even know where to start. Iâ€™ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My social media was suspecious, and then I got locked out of everything. I donâ€™t think Iâ€™ve ever felt this violated before. My privacy is completely shattered, and I canâ€™t do anything to make it stop. Even my phone isnâ€™t working right anymore. Itâ€™s so stange how everything just fell apart after that one email."
RapeGang Rape RGRSexually Abusive Content,,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife Â a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,UPI Related Frauds,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 
"
Online Financial Fraud,UPI Related Frauds,FRAUDULENT TRANSACTION AFTER VICTIM RECEIVED A FAKE LINK AND ENTERED THE UPI CREDENTIALS AFTER COUPLE OF MINUTES I RECEIVED SMS ALERT FROM HDFC BANK STATING THAT ACCOUNT HAS BEEN DEBITED WITH TOTAL AMOUNT OF Rs  I HAVE ATTACHED THE BANK STATEMENT FOR EVIDENCE
Online Financial Fraud,UPI Related Frauds,"He called yesterday for attractive and guaranteed cashback offers and coupons
He demanded for money transfer from my account to his account and gave assured that he will return my money immediately after offers and cashback but he did not provide my money back and now his phone number is switched off"
Online Financial Fraud,UPI Related Frauds,"I WANT TO KNOWLEDGE ABOUT TO TVS ELE MOPED PLZ SOLVE MY PROBULAM MONEY LOSS I                                                                                 



MY REPORT I BANK SAME DAY  AM IN CUSTOMER CARE NO SERVICE REQUEST NO  SUSPECTED FRAUD 






















































































































































































































































































I CLOSE MY AC SAME DAY
























































I REPORT POLICE THANA KEKRI DIST AJMER RAJASTHAN  MY FIR NO  DATE  TIME "
